TransactionID,TerminalID,SiteID,TypeID,Type,CardDetails,Form,Network,Type,Value,Type,Code,Country,TXNStatus, , ,SiteID,TXNDate,TXNTime
1569,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:42:04
1570,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:42:05
1571,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:42:07
1572,01234567,288442,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:45:31
1573,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:45:48
1574,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:45:50
1575,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:45:54
1576,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:45:55
1577,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:45:59
1578,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:49:07
1579,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:49:12
1580,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:49:15
1581,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:49:19
1582,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:49:22
1583,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:54:32
1584,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:54:35
1585,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:54:38
1586,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:54:40
1587,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:54:42
1588,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:54:45
1589,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:54:46
